Area Code4,Geography3,Area.x,Por_18,Bungalow_Total,Por_19,Flat/Maisonette_Total,Por_20,Terraced_House_Total,Por_21,Semi_detached_House_Total,Por_22,Detached_House_Total,Por_23,Annexe,Por_24,Other1,Por_25,Unknown2,Total,1,Area.y,AREA_NAME,BP_PRE_1900,Por_1,BP_1900_1918,Por_2,BP_1919_1929,Por_3,BP_1930_1939,Por_4,Por_14,BP_1945_1954,Por_5,BP_1955_1964,Por_6,BP_1965_1972,Por_7,Por_15,BP_1973_1982,Por_8,BP_1983_1992,Por_9,BP_1993_1999,Por_10,Por_16,BP_2000_2009,Por_11,BP_2010_2015,Por_12,BP_UNKNOWN,Por_13,Por_17,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC,MODE2_VAL,MODE2_TYPE,MODE2_PC,MODE2_MODE1_RATIO
E01003960,LSOA,Southwark 012A,0,0,0.716049383,580,0.24691358,200,0.012345679,10,0,0,0,0,0,0,0.012345679,10,810,LSOA,Southwark 012A,Southwark 012A,320,0.395061728,1,0.001234568,10,0.012345679,0,0,0.012345679,0,0,0,0,0,0,0,170,0.209876543,20,0.024691358,100,0.12345679,0.358024691,140,0.172839506,10,0.012345679,40,0.049382716,0.234567901,810,320,BP_PRE_1900,0.4,170,BP_1973_1982,0.21,0.53
E01003961,LSOA,Southwark 012B,0,0,0.903225806,840,0.064516129,60,0,0,0.010752688,10,0,0,0,0,0.021505376,20,930,LSOA,Southwark 012B,Southwark 012B,100,0.106382979,0,0,1,0.00106383,0,0,0.00106383,120,0.127659574,190,0.20212766,220,0.234042553,0.563829787,150,0.159574468,10,0.010638298,0,0,0.170212766,90,0.095744681,40,0.042553191,20,0.021276596,0.159574468,940,220,BP_1965_1972,0.23,190,BP_1955_1964,0.2,0.86
E01003963,LSOA,Southwark 016A,0,0,0.944444444,680,0.041666667,30,0,0,0,0,0,0,0,0,0.013888889,10,720,LSOA,Southwark 016A,Southwark 016A,20,0.027777778,0,0,0,0,550,0.763888889,0.763888889,70,0.097222222,20,0.027777778,30,0.041666667,0.166666667,0,0,10,0.013888889,10,0.013888889,0.027777778,10,0.013888889,0,0,10,0.013888889,0.027777778,720,550,BP_1930_1939,0.76,70,BP_1945_1954,0.1,0.13
E01003964,LSOA,Southwark 015A,0,0,0.646341463,530,0.231707317,190,0.048780488,40,0,0,0,0,0,0,0.073170732,60,820,LSOA,Southwark 015A,Southwark 015A,440,0.483516484,1,0.001098901,0,0,0,0,0,210,0.230769231,0,0,0,0,0.230769231,10,0.010989011,1,0.001098901,30,0.032967033,0.045054945,20,0.021978022,160,0.175824176,40,0.043956044,0.241758242,910,440,BP_PRE_1900,0.48,210,BP_1945_1954,0.23,0.48
E01003966,LSOA,Southwark 015B,0,0,0.875,700,0.1,80,0,0,0,0,0,0,0,0,0.025,20,800,LSOA,Southwark 015B,Southwark 015B,210,0.2625,1,0.00125,1,0.00125,60,0.075,0.07625,150,0.1875,50,0.0625,200,0.25,0.5,30,0.0375,30,0.0375,30,0.0375,0.1125,10,0.0125,0,0,30,0.0375,0.05,800,210,BP_PRE_1900,0.26,200,BP_1965_1972,0.25,0.95
E01003967,LSOA,Southwark 016B,0,0,0.971014493,670,0.014492754,10,0,0,0,0,0,0,0,0,0,0,690,LSOA,Southwark 016B,Southwark 016B,10,0.014492754,0,0,30,0.043478261,0,0,0.043478261,60,0.086956522,200,0.289855072,300,0.434782609,0.811594203,40,0.057971014,0,0,0,0,0.057971014,20,0.028985507,20,0.028985507,20,0.028985507,0.086956521,690,300,BP_1965_1972,0.43,200,BP_1955_1964,0.29,0.67
E01003968,LSOA,Southwark 015C,0,0,0.981818182,540,0,0,0,0,0,0,0,0,0,0,0.018181818,10,550,LSOA,Southwark 015C,Southwark 015C,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0.745098039,0.745098039,100,0.196078431,0,0,0,0,0.196078431,20,0.039215686,10,0.019607843,10,0.019607843,0.078431372,510,380,BP_1965_1972,0.75,100,BP_1973_1982,0.2,0.26
E01003969,LSOA,Southwark 017B,0,0,0.810526316,770,0.157894737,150,0.010526316,10,0,0,0,0,0,0,0.021052632,20,950,LSOA,Southwark 017B,Southwark 017B,390,0.40625,30,0.03125,0,0,0,0,0,1,0.001041667,100,0.104166667,40,0.041666667,0.146875001,1,0.001041667,20,0.020833333,1,0.001041667,0.022916667,100,0.104166667,260,0.270833333,20,0.020833333,0.395833333,960,390,BP_PRE_1900,0.41,260,BP_2010_2015,0.27,0.67
E01003970,LSOA,Southwark 016C,0,0,0.786885246,480,0.213114754,130,0,0,0,0,0,0,0,0,0,0,610,LSOA,Southwark 016C,Southwark 016C,30,0.045454545,0,0,0,0,0,0,0,0,0,170,0.257575758,460,0.696969697,0.954545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,460,BP_1965_1972,0.7,170,BP_1955_1964,0.26,0.37
E01003971,LSOA,Southwark 015D,0,0,1,600,0,0,0,0,0,0,0,0,0,0,0,0,600,LSOA,Southwark 015D,Southwark 015D,1,0.001666667,0,0,0,0,0,0,0,20,0.033333333,30,0.05,370,0.616666667,0.7,170,0.283333333,0,0,0,0,0.283333333,20,0.033333333,0,0,1,0.001666667,0.035,600,370,BP_1965_1972,0.62,170,BP_1973_1982,0.28,0.46
