1,Area Code4,Area,Bungalow,Flat/Maisonette,Terraced House,Semi0detached House,Detached House,Unknown,AREA_NAME,BP_PRE_1900,Por_1,BP_1900_1918,Por_2,BP_1919_1929,Por_3,BP_1930_1939,Por_4,Por_14,BP_1945_1954,Por_5,BP_1955_1964,Por_6,BP_1965_1972,Por_7,Por_15,BP_1973_1982,Por_8,BP_1983_1992,Por_9,BP_1993_1999,Por_10,Por_16,BP_2000_2009,Por_11,BP_2010_2015,Por_12,BP_UNKNOWN,Por_13,Por_17,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC,MODE2_VAL,MODE2_TYPE,MODE2_PC,MODE2_MODE1_RATIO
LSOA,E01000105,Barking and Dagenham 014C,30,550,430,30,0,0,Barking and Dagenham 014C,0,0,0,0,320,0.310679612,10,0.009708738,0.32038835,110,0.106796117,60,0.058252427,100,0.097087379,0.262135923,210,0.203883495,1,0.000970874,40,0.038834951,0.24368932,190,0.184466019,10,0.009708738,1,0.000970874,0.195145631,1030,320,BP_1919_1929,0.31,210,BP_1973_1982,0.2,0.66
LSOA,E01000106,Barking and Dagenham 014D,10,680,160,90,0,0,Barking and Dagenham 014D,10,0.010638298,10,0.010638298,80,0.085106383,60,0.063829787,0.14893617,100,0.106382979,40,0.042553191,320,0.340425532,0.489361702,50,0.053191489,20,0.021276596,230,0.244680851,0.319148936,30,0.031914894,1,0.00106383,1,0.00106383,0.034042554,940,320,BP_1965_1972,0.34,230,BP_1993_1999,0.24,0.72
LSOA,E01000107,Barking and Dagenham 010C,100,100,360,30,20,0,Barking and Dagenham 010C,0,0,0,0,140,0.229508197,200,0.327868852,0.557377049,160,0.262295082,80,0.131147541,10,0.016393443,0.409836066,30,0.049180328,1,0.001639344,1,0.001639344,0.052459016,1,0.001639344,1,0.001639344,0,0,0.003278688,610,200,BP_1930_1939,0.33,160,BP_1945_1954,0.26,0.8
LSOA,E01000108,Barking and Dagenham 010D,50,250,320,50,10,0,Barking and Dagenham 010D,10,0.014084507,10,0.014084507,60,0.084507042,320,0.450704225,0.535211267,30,0.042253521,40,0.056338028,10,0.014084507,0.112676056,20,0.028169014,90,0.126760563,90,0.126760563,0.28169014,30,0.042253521,20,0.028169014,1,0.001408451,0.071830986,710,320,BP_1930_1939,0.45,90,BP_1993_1999,0.13,0.28
LSOA,E01000109,Barking and Dagenham 004D,40,50,540,10,0,0,Barking and Dagenham 004D,0,0,0,0,250,0.396825397,290,0.46031746,0.857142857,0,0,70,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0,1,0.001587302,20,0.031746032,1,0.001587302,0.034920636,630,290,BP_1930_1939,0.46,250,BP_1919_1929,0.4,0.86
LSOA,E01000110,Barking and Dagenham 002C,10,50,310,120,30,0,Barking and Dagenham 002C,20,0.038461538,80,0.153846154,10,0.019230769,290,0.557692308,0.576923077,30,0.057692308,60,0.115384615,10,0.019230769,0.192307692,10,0.019230769,1,0.001923077,1,0.001923077,0.023076923,10,0.019230769,1,0.001923077,0,0,0.021153846,520,290,BP_1930_1939,0.56,80,BP_1900_1918,0.15,0.28
LSOA,E01000111,Barking and Dagenham 002D,20,390,280,50,10,0,Barking and Dagenham 002D,20,0.026666667,30,0.04,50,0.066666667,190,0.253333333,0.32,180,0.24,160,0.213333333,70,0.093333333,0.546666666,1,0.001333333,0,0,30,0.04,0.041333333,20,0.026666667,1,0.001333333,1,0.001333333,0.029333333,750,190,BP_1930_1939,0.25,180,BP_1945_1954,0.24,0.95
LSOA,E01000112,Barking and Dagenham 002E,30,350,320,30,10,0,Barking and Dagenham 002E,1,0.001333333,70,0.093333333,190,0.253333333,150,0.2,0.453333333,30,0.04,50,0.066666667,10,0.013333333,0.12,0,0,130,0.173333333,10,0.013333333,0.186666666,120,0.16,0,0,1,0.001333333,0.161333333,750,190,BP_1919_1929,0.25,150,BP_1930_1939,0.2,0.79
LSOA,E01000113,Barking and Dagenham 002F,0,170,460,30,0,0,Barking and Dagenham 002F,80,0.121212121,190,0.287878788,180,0.272727273,120,0.181818182,0.454545455,0,0,50,0.075757576,20,0.03030303,0.106060606,0,0,1,0.001515152,10,0.015151515,0.016666667,10,0.015151515,0,0,1,0.001515152,0.016666667,660,190,BP_1900_1918,0.29,180,BP_1919_1929,0.27,0.95
LSOA,E01000114,Barking and Dagenham 004E,0,160,590,30,10,0,Barking and Dagenham 004E,20,0.025316456,10,0.012658228,10,0.012658228,560,0.708860759,0.721518987,50,0.063291139,30,0.037974684,50,0.063291139,0.164556962,20,0.025316456,10,0.012658228,20,0.025316456,0.06329114,1,0.001265823,1,0.001265823,1,0.001265823,0.003797469,790,560,BP_1930_1939,0.71,50,BP_1965_1972,0.06,0.09
LSOA,E01000115,Barnet 009A,0,20,0,350,130,0,Barnet 009A,1,0.002040816,1,0.002040816,20,0.040816327,390,0.795918367,0.836734694,50,0.102040816,20,0.040816327,1,0.002040816,0.144897959,0,0,0,0,0,0,0,1,0.002040816,0,0,1,0.002040816,0.004081632,490,390,BP_1930_1939,0.8,50,BP_1945_1954,0.1,0.13
LSOA,E01000116,Barnet 009B,10,80,360,180,0,0,Barnet 009B,0,0,0,0,1,0.001612903,570,0.919354839,0.920967742,20,0.032258065,1,0.001612903,30,0.048387097,0.082258065,0,0,1,0.001612903,0,0,0.001612903,0,0,0,0,0,0,0,620,570,BP_1930_1939,0.92,30,BP_1965_1972,0.05,0.05
LSOA,E01000117,Barnet 010A,170,220,150,200,10,0,Barnet 010A,1,0.001282051,10,0.012820513,50,0.064102564,620,0.794871795,0.858974359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0.141025641,0,0,1,0.001282051,0.142307692,780,620,BP_1930_1939,0.79,110,BP_2000_2009,0.14,0.18
LSOA,E01000118,Barnet 010B,50,90,340,240,0,0,Barnet 010B,0,0,1,0.001388889,0,0,590,0.819444444,0.819444444,0,0,20,0.027777778,20,0.027777778,0.055555556,0,0,0,0,0,0,0,90,0.125,0,0,1,0.001388889,0.126388889,720,590,BP_1930_1939,0.82,90,BP_2000_2009,0.13,0.15
LSOA,E01000119,Barnet 009C,0,20,200,350,60,0,Barnet 009C,0,0,0,0,10,0.016129032,490,0.790322581,0.806451613,1,0.001612903,30,0.048387097,0,0,0.05,0,0,0,0,10,0.016129032,0.016129032,90,0.14516129,0,0,1,0.001612903,0.146774193,620,490,BP_1930_1939,0.79,90,BP_2000_2009,0.15,0.18
LSOA,E01000120,Barnet 009D,0,10,110,380,10,0,Barnet 009D,0,0,0,0,0,0,490,0.98,0.98,10,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,490,BP_1930_1939,0.98,10,BP_1945_1954,0.02,0.02
LSOA,E01000121,Barnet 010C,20,160,300,20,10,0,Barnet 010C,1,0.002,0,0,0,0,40,0.08,0.08,20,0.04,100,0.2,40,0.08,0.32,50,0.1,0,0,210,0.42,0.52,40,0.08,1,0.002,1,0.002,0.084,500,210,BP_1993_1999,0.42,100,BP_1955_1964,0.2,0.48
